,Chromophore,Solvent,Absorption max (nm),log(e/mol-1 dm3 cm-1)
4074,CCOC(=O)C1=C(N)n2c(=O)c3ccccc3c(=O)n2C1c1ccc(C)cc1,CS(C)=O,365.0,4.477121255
4075,CCOC(=O)C1=C(N)n2c(=O)c3ccccc3c(=O)n2C1c1cccs1,CS(C)=O,365.0,4.305351369
4076,COC(=O)c1noc(-c2ccccc2)c1Cl,C1CCCCC1,307.0,4.383815366
4077,COC(=O)c1noc(-c2ccccc2)c1Br,C1CCCCC1,307.0,4.31344537
4078,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccc4c(c3)C(CC)(CC)c3cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc3-4)cc21,CCCCCC,422.0,4.872738827
4079,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccc4c(c3)C(CC)(CC)c3cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc3-4)cc21,Cc1ccccc1,424.0,4.808885867
4080,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccc4c(c3)C(CC)(CC)c3cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc3-4)cc21,ClC(Cl)Cl,422.0,4.783188691
4081,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccc4c(c3)C(CC)(CC)c3cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc3-4)cc21,C1CCOC1,422.0,4.811575006
4082,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccc4c(c3)C(CC)(CC)c3cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc3-4)cc21,CC(C)=O,418.0,4.812913357
4083,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccc4c(c3)C(CC)(CC)c3cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc3-4)cc21,CN(C)C=O,422.0,4.766412847
4084,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccc4c(c3)C(CC)(CC)c3cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc3-4)cc21,CC#N,417.0,4.782472624
4085,Nc1cccc2c1C(=O)c1ccccc1C2=O,ClCCl,464.0,3.755874856
4086,CCNc1cccc2c1C(=O)c1ccccc1C2=O,ClCCl,510.0,3.158362492
4087,NCCNc1cccc2c1C(=O)c1ccccc1C2=O,ClCCl,510.0,3.827369273
4088,O=C1c2ccccc2C(=O)c2c(NCCNc3nc(Cl)nc(Cl)n3)cccc21,ClCCl,497.0,3.414973348
4089,O=C1O/C(=C2/C(=O)Oc3ccccc32)C(O)=C1c1ccccc1,ClC(Cl)Cl,388.0,4.357934847
4090,CC(=O)C1=C(O)CC2Oc3c(C(C)=O)c(O)c(C)c(O)c3C2(C)C1=O,ClC(Cl)Cl,340.0,4.089905111
4091,COc1cc(C)c2c(c1C)OC(=O)c1c(C)c(Cl)c(O)c(Cl)c1O2,ClC(Cl)Cl,342.0,2.755874856
4092,COc1c(C)c2c(c(C)c1Cl)Oc1c(C=O)c(O)c(Cl)c(C)c1C(=O)O2,ClC(Cl)Cl,342.0,3.523746467
4093,CCCCCc1cc(O)cc(Oc2c(OC)cc(O)c(C(=O)O)c2CCCCC)c1C(=O)OC,ClC(Cl)Cl,312.0,3.763427994
4094,CCCCCc1c(Oc2cc(O)cc(CCC(=O)CC)c2C(=O)OC)c(OC)cc(O)c1C(=O)O,ClC(Cl)Cl,312.0,3.741939078
4095,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,Cc1ccccc1,356.0,4.370124327
4096,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,C1COCCO1,346.0,4.655829681
4097,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,C1CCOC1,346.0,4.485480085
4098,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,ClC(Cl)Cl,352.0,4.549420181
4099,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CCOC(C)=O,346.0,4.605994198
4100,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CO,345.0,4.490197346
4101,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CCO,346.0,4.583855955
4102,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CN(C)C=O,347.0,4.37322473
4103,N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CS(C)=O,343.0,4.507180977
4104,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,Cc1ccccc1,347.0,4.337399354
4105,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,C1COCCO1,333.0,4.412107592
4106,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,C1CCOC1,333.0,4.439758883
4107,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,ClC(Cl)Cl,339.0,4.146531122
4108,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CCOC(C)=O,330.0,4.456942685
4109,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CO,330.0,4.531823661
4110,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CCO,335.0,4.546098271
4111,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CN(C)C=O,330.0,4.518829676
4112,COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CS(C)=O,330.0,4.459919956
4113,N#C/C(=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,Cc1ccccc1,383.0,4.118628415
4114,N#C/C(=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,C1COCCO1,379.0,4.323293361
4115,N#C/C(=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,C1CCOC1,378.0,4.375407533
4116,N#C/C(=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,ClC(Cl)Cl,382.0,4.505814483
4117,N#C/C(=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,CCOC(C)=O,375.0,4.54696195
4118,N#C/C(=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,CN(C)C=O,376.0,4.386855529
4119,N#C/C(=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,CS(C)=O,375.0,4.09509958
4120,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,Cc1ccccc1,364.0,4.435796604
4121,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,C1COCCO1,361.0,4.545554507
4122,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,C1CCOC1,343.0,4.57953209
4123,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,ClC(Cl)Cl,363.0,4.627734441
4124,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CCOC(C)=O,359.0,4.59247655
4125,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CO,360.0,4.525821952
4126,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CCO,362.0,3.935809454
4127,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CN(C)C=O,361.0,4.587228147
4128,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CS(C)=O,364.0,4.643146588
4129,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,Cc1ccccc1,396.0,4.572185944
4130,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,C1COCCO1,391.0,4.619625433
4131,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,C1CCOC1,394.0,4.414689293
4132,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,ClC(Cl)Cl,397.0,4.599708446
4133,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,CCOC(C)=O,390.0,4.640133464
4134,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,CO,391.0,4.683263231
4135,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,CCO,393.0,4.582631439
4136,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,CN(C)C=O,399.0,4.31122391
4137,N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,CS(C)=O,402.0,4.378506915
4138,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,Cc1ccccc1,413.0,4.547922316
4139,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,C1COCCO1,411.0,4.341197032
4140,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,C1CCOC1,414.0,4.290591043
4141,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,ClC(Cl)Cl,415.0,4.513057708
4142,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,CCOC(C)=O,410.0,4.535471347
4143,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,CO,411.0,4.492383185
4144,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,CCO,415.0,4.494683221
4145,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,CN(C)C=O,421.0,4.78609807
4146,CC1(C)CC(/C=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)=CC(=C(C#N)C#N)C1,CS(C)=O,422.0,4.5185271
4147,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CC1CCCCC1,356.0,4.36
4148,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,ClC(Cl)(Cl)Cl,360.0,4.32
4149,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,Cc1ccccc1,360.0,4.23
4150,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,C1COCCO1,357.0,4.29
4151,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,ClC(Cl)Cl,356.0,4.29
4152,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CCOC(C)=O,352.0,4.17
4153,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,C1CCOC1,354.0,4.31
4154,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CS(C)=O,354.0,4.27
4155,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CC(C)CO,353.0,4.29
4156,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CN(C)C=O,352.0,4.29
4157,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,OCCO,354.0,4.34
4158,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CC(C)O,354.0,4.29
4159,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CC(C)=O,352.0,4.18
4160,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CC#N,352.0,4.3
4161,O=c1oc2ccccc2cc1-c1nc2ccccc2o1,CO,352.0,4.33
4162,COc1cc(/C=C/C2=CC(/C=C/c3ccc(O)c(OC)c3)=[O+][B-](F)(F)O2)ccc1O,ClC(Cl)Cl,497.0,4.913813852
4163,COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c(OC)c3)=[O+][B-](F)(F)O2)cc1OC,ClC(Cl)Cl,500.0,5.11058971
4164,COc1cc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OS(=O)(=O)c4ccc(C)cc4)c(OC)c3)=C2)ccc1O,ClCCl,492.0,4.51851394
4165,COc1cc(/C=C/C2=CC(/C=C/c3ccc(OS(=O)(=O)c4ccc(C)cc4)c(OC)c3)=[O+][B-](F)(F)O2)ccc1OS(=O)(=O)c1ccc(C)cc1,ClCCl,460.1,4.531478917
4166,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,CCCCCC,516.0,4.823474229
4167,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,C1CCOC1,517.0,4.716837723
4168,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,ClCCl,518.0,4.740362689
4169,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,ClC(Cl)Cl,518.0,4.893206753
4170,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,CO,517.0,4.804139432
4171,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,CS(C)=O,519.0,4.416640507
4172,CC1=[N+]2C(=c3c4c5ccccc5cc5cccc(c6cc(C)n(c36)[B-]2(F)F)c54)C=C1,CCCCCC,583.0,4.041392685
4173,CC1=[N+]2C(=c3c4c5ccccc5cc5cccc(c6cc(C)n(c36)[B-]2(F)F)c54)C=C1,C1CCOC1,584.0,4.056904851
4174,CC1=[N+]2C(=c3c4c5ccccc5cc5cccc(c6cc(C)n(c36)[B-]2(F)F)c54)C=C1,ClCCl,583.0,4.361727836
4175,CC1=[N+]2C(=c3c4c5ccccc5cc5cccc(c6cc(C)n(c36)[B-]2(F)F)c54)C=C1,ClC(Cl)Cl,584.0,4.550228353
4176,CC1=[N+]2C(=c3c4c5ccccc5cc5cccc(c6cc(C)n(c36)[B-]2(F)F)c54)C=C1,CO,583.0,4.206825876
4177,CC1=[N+]2C(=c3c4c5ccccc5cc5cccc(c6cc(C)n(c36)[B-]2(F)F)c54)C=C1,CS(C)=O,587.0,4.387389826
4178,Cc1cc(=O)oc2cc(O)ccc12,CCO,323.0,4.064457989
4179,C#Cc1ccc2c(C)cc(=O)oc2c1,CCO,325.0,4.342422681
4180,Cc1cc(=O)oc2cc(-c3cn(Cc4ccccc4)nn3)ccc12,CCO,329.0,4.243038049
4181,Cc1cc(=O)oc2ccc3ccc(O)cc3c12,CCO,350.0,4.139879086
4182,C#Cc1ccc2ccc3oc(=O)cc(C)c3c2c1,CCO,362.0,3.491361694
4183,Cc1cc(=O)oc2ccc3ccc(-c4cn(Cc5ccccc5)nn4)cc3c12,CCO,352.0,4.255272505
4184,Cc1cc(=O)oc2cc3cc(O)ccc3cc12,CCO,357.0,3.86923172
4185,C#Cc1ccc2cc3c(C)cc(=O)oc3cc2c1,CCO,334.0,4.212187604
4186,Cc1cc(=O)oc2cc3cc(-c4cn(Cc5ccccc5)nn4)ccc3cc12,CCO,339.0,4.064457989
4187,CCOC(=O)/C=C/c1cc2ccc(O)cc2oc1=O,CCO,367.0,4.056904851
4188,C#Cc1ccc2cc(/C=C/C(=O)OCC)c(=O)oc2c1,CCO,360.0,4.255272505
4189,CCOC(=O)/C=C/c1cc2ccc(-c3cn(Cc4ccccc4)nn3)cc2oc1=O,CCO,358.0,3.886490725
4190,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccccc6)nn5-c5ccccc5)s4)ccc(c23)C1=O,ClCCl,388.0,4.389
4191,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(C)cc6)nn5-c5ccccc5)s4)ccc(c23)C1=O,ClCCl,389.0,4.405
4192,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(Cl)cc6)nn5-c5ccccc5)s4)ccc(c23)C1=O,ClCCl,389.0,4.265
4193,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6cccc7ccccc67)nn5-c5ccccc5)s4)ccc(c23)C1=O,ClCCl,389.0,4.2
4194,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccccc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,ClCCl,400.0,4.424
4195,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(C)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,ClCCl,402.0,4.799
4196,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(Cl)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,ClCCl,402.0,4.522
4197,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(OC)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,ClCCl,403.0,4.214
4198,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,CCCCCCC,319.0,3.950997334
4199,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,C1CCCCC1,321.0,3.941759814
4200,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,C1COCCO1,319.0,3.96890303
4201,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,C1CCOC1,322.0,3.994449137
4202,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,CN(C)C=O,322.0,3.973266436
4203,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,CC#N,321.0,3.994449137
4204,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,CCO,323.0,3.998608029
4205,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,CO,322.0,3.998608029
4206,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,OCCO,326.0,3.977586438
4207,N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,O,324.0,3.977586438
4208,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,Cc1ccccc1,373.0,4.544737582
4209,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,ClC(Cl)Cl,378.0,4.539828558
4210,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,ClCCl,372.0,4.556977545
4211,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,C1CCOC1,368.0,4.531542779
4212,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,CC(C)=O,365.0,4.549518221
4213,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,C1COCCO1,369.0,4.536027875
4214,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,CCOC(C)=O,366.0,4.57274385
4215,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,CN(C)C=O,367.0,4.342896198
4216,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,CS(C)=O,369.0,4.528299512
4217,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,CC#N,365.0,4.499343359
4218,O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,CO,367.0,4.53155555
4219,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,Cc1ccccc1,453.0,4.522548556
4220,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,ClC(Cl)Cl,454.0,4.658764793
4221,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,ClCCl,448.0,4.694491127
4222,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,C1CCOC1,446.0,4.732827837
4223,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CC(C)=O,442.0,4.69665339
4224,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,C1COCCO1,443.0,4.671635597
4225,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CCOC(C)=O,441.0,4.703497726
4226,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CN(C)C=O,449.0,4.015988105
4227,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CS(C)=O,454.0,4.683443309
4228,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CC#N,442.0,4.645363311
4229,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CO,446.0,4.667153981
4230,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,Cc1ccccc1,472.0,4.976684628
4231,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,ClC(Cl)Cl,479.0,4.985107485
4232,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,ClCCl,476.0,4.961174212
4233,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,C1CCOC1,468.0,4.950204155
4234,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,CC(C)=O,470.0,4.960137675
4235,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,C1COCCO1,466.0,4.935285528
4236,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,CCOC(C)=O,465.0,4.951322945
4237,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,CN(C)C=O,478.0,4.731846526
4238,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,CS(C)=O,483.0,4.94019762
4239,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,CC#N,471.0,4.935890002
4240,CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,CO,475.0,4.780979412
4241,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,Cc1ccccc1,485.0,4.770247996
4242,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,ClC(Cl)Cl,491.0,4.766234333
4243,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,ClCCl,485.0,4.753314893
4244,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,C1CCOC1,473.0,4.825614336
4245,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,CC(C)=O,472.0,4.764594528
4246,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,C1COCCO1,475.0,4.755272521
4247,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,CCOC(C)=O,471.0,4.76334562
4248,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,CN(C)C=O,478.0,3.711638538
4249,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,CS(C)=O,482.0,4.724267675
4250,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,CC#N,475.0,4.706103021
4251,O=C1/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)S(=O)(=O)c2ccccc21,CO,477.0,4.721150844
4252,CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,ClCCl,480.0,4.146128036
4253,CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,C1CCOC1,462.0,4.176091259
4254,CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,CCOC(C)=O,444.0,4.255272505
4255,CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,C1COCCO1,460.0,4.146128036
4256,CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,CC(C)=O,458.0,4.079181246
4257,CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,CC#N,428.0,4.113943352
4258,CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,CN(C)C=O,412.0,4.204119983
